# hard hit
141.41 6
141.52 12
141.64 23
141.75 14
141.86 2
141.97 9
142.09 12
142.20 8
142.31 4
142.42 13
142.53 17
142.65 13
142.76 5
142.87 2
142.98 4
143.09 2
143.21 0
143.32 0
143.43 3
143.54 0
143.66 2
143.77 2
143.88 9
143.99 14
144.10 0
144.22 15
144.33 14
144.44 2
144.55 20
144.66 24
144.78 16
144.89 8
145.00 1
145.11 8
145.23 9
145.34 3
145.45 2
145.56 6
145.67 6
145.79 4
145.90 5
146.01 4
146.12 0
146.23 1
146.35 0
146.46 1
146.57 2
146.68 5
146.80 12
146.91 25
147.02 18
147.13 4
147.24 16
147.36 14
147.47 5
147.58 3
147.69 8
147.80 13
147.92 11
148.03 2
148.14 4
148.25 1
148.37 1
148.48 4
148.59 8
148.70 8
148.81 8
148.93 8
149.04 4
149.15 1
149.26 1
149.37 2
149.49 8
149.60 10
149.71 4
149.82 14
149.94 21
150.05 11
150.16 0
150.27 1
150.38 2
150.50 0
150.61 6
150.72 9
150.83 11
150.94 8
151.06 1
151.17 0
151.28 1
151.39 5
151.51 4
151.62 0
151.73 2
151.84 3
151.95 4
152.07 5
152.18 12
152.29 15
152.40 6
152.51 4
152.63 7
152.74 2
152.85 10
152.96 6
153.07 3
153.19 6
153.30 2
153.41 5
153.52 5
153.64 4
153.75 0
153.86 5
153.97 7
154.08 9
154.20 10
154.31 6
154.42 3
154.53 6
154.64 4
154.76 1
154.87 5
154.98 4
155.09 5
155.21 14
155.32 12
155.43 1
155.54 9
155.65 10
155.77 4
155.88 0
155.99 4
156.10 16
156.21 21
156.33 11
156.44 4
156.55 1
156.66 7
156.78 4
156.89 0
