# mic drop
132.22 3
132.33 2
132.44 2
132.55 2
132.67 3
132.78 3
132.89 3
133.00 3
133.11 3
133.23 3
133.34 2
133.45 2
133.56 2
133.68 2
133.79 3
133.90 3
134.01 3
134.12 3
134.24 2
134.35 2
134.46 2
134.57 3
134.68 3
134.80 3
134.91 3
135.02 3
135.13 2
135.25 2
135.36 2
135.47 2
135.58 3
135.69 3
135.81 3
135.92 3
136.03 3
136.14 2
136.25 2
136.37 2
136.48 2
136.59 3
136.70 3
136.82 3
136.93 3
137.04 2
137.15 2
137.26 2
137.38 2
137.49 3
137.60 3
137.71 3
137.82 3
137.94 2
138.05 2
138.16 2
138.27 2
138.39 3
138.50 3
138.61 3
138.72 2
138.83 2
138.95 2
139.06 2
139.17 2
139.28 3
139.39 3
139.51 3
139.62 2
139.73 2
139.84 2
139.95 2
140.07 2
140.18 2
140.29 3
140.40 3
140.52 2
140.63 2
140.74 2
140.85 2
140.96 2
141.08 2
141.19 3
141.30 3
141.41 3
141.52 2
141.64 2
141.75 2
141.86 2
141.97 2
142.09 2
142.20 3
142.31 3
142.42 2
142.53 2
142.65 2
142.76 2
142.87 2
142.98 2
143.09 3
143.21 3
143.32 2
143.43 2
143.54 2
143.66 2
143.77 2
143.88 2
143.99 2
144.10 2
144.22 2
144.33 2
144.44 2
144.55 2
144.66 2
144.78 2
144.89 2
145.00 2
145.11 2
145.23 2
145.34 2
145.45 2
145.56 2
145.67 2
145.79 2
145.90 2
146.01 2
146.12 2
146.23 2
146.35 2
146.46 2
146.57 2
146.68 2
146.80 2
146.91 3
147.02 2
147.13 2
147.24 2
147.36 2
147.47 2
147.58 2
147.69 2
147.80 2
147.92 2
148.03 2
148.14 2
148.25 2
148.37 2
148.48 2
148.59 2
148.70 2
148.81 2
148.93 2
149.04 2
149.15 2
149.26 2
149.37 2
149.49 2
149.60 2
149.71 2
149.82 2
149.94 2
150.05 2
150.16 2
150.27 2
150.38 2
150.50 2
150.61 2
150.72 2
150.83 2
150.94 2
151.06 2
151.17 2
151.28 2
151.39 2
151.51 2
151.62 2
151.73 2
151.84 2
151.95 2
152.07 2
152.18 2
152.29 2
152.40 2
152.51 2
152.63 2
152.74 2
152.85 2
152.96 2
153.07 2
153.19 2
153.30 2
153.41 2
153.52 2
153.64 2
